CÓDIGO,PRODUCTO,DESCRIPCIÓN,CATEGORÍA,PRECIO,COSTO,STOCK,STOCK MIN,ESTADO,VALOR STOCK
LUN001,Blue Defense Premium,Lentes con protección luz azul premium,Lunas,130.00,65.00,50,5,EN STOCK,6500.00
LUN002,Crizal Sapphire HR,Antirreflejo Sapphire alta resistencia,Lunas,190.00,95.00,30,5,EN STOCK,5700.00
LUN003,Crizal Easy Pro,Antirreflejo fácil limpieza profesional,Lunas,120.00,60.00,47,5,EN STOCK,5640.00
LUN004,Transitions Signature,Fotocromático Signature adaptable,Lunas,280.00,140.00,25,5,EN STOCK,7000.00
LUN005,Transitions XTRActive,Fotocromático extra oscuro exterior,Lunas,320.00,160.00,15,5,EN STOCK,4800.00
LUN006,Fotocromático,Luna fotocromática estándar,Lunas,150.00,75.00,100,10,EN STOCK,15000.00
LUN007,Policarbonato,Luna policarbonato resistente impacto,Lunas,80.00,40.00,100,10,EN STOCK,8000.00
LUN008,Trivex,Luna Trivex ultraliviana,Lunas,95.00,48.00,60,5,EN STOCK,5700.00
LUN009,Blue Zero,Protección luz azul básica económica,Lunas,85.00,43.00,80,10,EN STOCK,6800.00
LUN010,Alto Índice 1.67,Luna delgada alto índice 1.67,Lunas,180.00,90.00,25,5,EN STOCK,4500.00
LUN011,Alto Índice 1.74,Luna ultra delgada alto índice 1.74,Lunas,250.00,125.00,15,5,EN STOCK,3750.00
LUN012,Fotocromático Gris,Luna fotocromática color gris,Lunas,150.00,75.00,30,5,EN STOCK,4500.00
LUN013,Fotocromático Café,Luna fotocromática color café,Lunas,150.00,75.00,30,5,EN STOCK,4500.00
LUN014,Progresivo Varilux,Multifocal Varilux premium,Lunas,450.00,225.00,10,3,EN STOCK,4500.00
LUN015,Progresivo Económico,Multifocal económico estándar,Lunas,200.00,100.00,20,5,EN STOCK,4000.00
LUN016,Progresivo Kodak,Multifocal Kodak alta definición,Lunas,380.00,190.00,12,3,EN STOCK,4560.00
LUN017,Progresivo Essilor,Multifocal Essilor calidad premium,Lunas,420.00,210.00,8,3,EN STOCK,3360.00
LUN018,Bifocal FT-28,Bifocal flat top 28mm,Lunas,120.00,60.00,30,5,EN STOCK,3600.00
LUN019,Bifocal Invisible,Bifocal sin línea visible,Lunas,180.00,90.00,20,5,EN STOCK,3600.00
LUN020,Antireflex HD,Tratamiento antirreflejo HD,Lunas,45.00,23.00,150,20,EN STOCK,6750.00
LUN021,Antireflex Premium,Tratamiento antirreflejo premium,Lunas,65.00,33.00,100,15,EN STOCK,6500.00
LUN022,Montura Metálica Classic,Montura metálica clásica elegante,Lunas,120.00,60.00,100,10,EN STOCK,12000.00
LUN023,Montura Acetato Premium,Montura acetato alta calidad,Lunas,180.00,90.00,100,10,EN STOCK,18000.00
MON001,Montura Metálica Clásica,Montura metálica diseño clásico,Monturas,120.00,60.00,47,5,EN STOCK,5640.00
MON002,Montura Acetato Fashion,Montura acetato moda actual,Monturas,150.00,75.00,35,5,EN STOCK,5250.00
MON003,Montura Titanio,Montura titanio ultraliviana,Monturas,280.00,140.00,10,3,EN STOCK,2800.00
MON004,Montura Infantil,Montura niños flexible resistente,Monturas,85.00,43.00,30,5,EN STOCK,2550.00
MON005,Montura Sport,Montura deportiva resistente,Monturas,150.00,75.00,15,5,EN STOCK,2250.00
MON006,Montura Semi Al Aire,Montura semi al aire elegante,Monturas,95.00,48.00,40,5,EN STOCK,3800.00
MON007,Montura Aviador,Montura estilo aviador clásico,Monturas,110.00,55.00,25,5,EN STOCK,2750.00
MON008,Montura Cat Eye,Montura ojo de gato femenina,Monturas,130.00,65.00,20,5,EN STOCK,2600.00
MON009,Montura Redonda Vintage,Montura redonda estilo vintage,Monturas,100.00,50.00,30,5,EN STOCK,3000.00
MON010,Montura Cuadrada Ejecutiva,Montura cuadrada estilo ejecutivo,Monturas,140.00,70.00,25,5,EN STOCK,3500.00
MON011,Montura Flexible Memory,Montura memory flex resistente,Monturas,165.00,83.00,20,5,EN STOCK,3300.00
MON012,Montura Oversize,Montura grande oversize fashion,Monturas,125.00,63.00,18,5,EN STOCK,2250.00
MON013,Montura Acetato Grueso,Montura acetato grueso moderno,Monturas,145.00,73.00,22,5,EN STOCK,3190.00
MON014,Montura Sin Aro,Montura sin aro minimalista,Monturas,200.00,100.00,12,3,EN STOCK,2400.00
MON015,Montura Carey,Montura efecto carey clásico,Monturas,135.00,68.00,28,5,EN STOCK,3780.00
LC001,LC Mensual Esférico,Lente contacto mensual esférico,L. Contacto,45.00,23.00,50,10,EN STOCK,2250.00
LC002,LC Diario Pack 30,Lentes diarios caja 30 unidades,L. Contacto,120.00,60.00,20,5,EN STOCK,2400.00
LC003,LC Color Mensual,Lente contacto color mensual,L. Contacto,65.00,33.00,30,5,EN STOCK,1950.00
LC004,LC Tórico Mensual,Lente contacto tórico astigmatismo,L. Contacto,85.00,43.00,25,5,EN STOCK,2125.00
LC005,LC Multifocal,Lente contacto multifocal presbicia,L. Contacto,95.00,48.00,15,5,EN STOCK,1425.00
LC006,LC Quincenal,Lente contacto quincenal,L. Contacto,55.00,28.00,35,8,EN STOCK,1925.00
LC007,Solución Multipropósito 360ml,Solución limpieza LC 360ml,L. Contacto,35.00,18.00,60,15,EN STOCK,2100.00
